customer_id,segment,region,risk_tier,main_risk_driver,recommended_action,governance_priority_score,total_revenue,revenue_in_scope,high_discount_revenue,margin_at_risk_revenue,discount_leakage_value,priority_value_proxy
C00779,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,59.96,3347087.82,3347087.82,2047889.08,260389.03000000003,915945.8500000001,156129.26238800003
C01014,Public Sector,Europe,Medium,discount_dependency_score,review segment pricing,63.56,2080227.91,2080227.91,1373707.25,234391.63,594262.74,148979.32002800002
C00347,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,52.22,8796685.68,8796685.68,3986248.57,277109.25,2162844.2600000002,144706.45035
C01023,Public Sector,North America,Low,margin_erosion_score,monitor only,43.33,6611485.41,6611485.41,1879668.0600000003,325088.65,1540901.4900000002,140860.912045
C00377,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,48.81,18003367.07,18003367.07,7411628.9799999995,283650.58,4424881.6,138449.84809800002
C00916,Public Sector,APAC,Medium,discount_dependency_score,review segment pricing,63.58,1928271.11,1928271.11,1434890.0399999998,215279.27,515341.88,136874.559866
C00549,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,48.16,4449389.48,4449389.48,1585441.4900000002,283099.95999999996,1053817.55,136340.94073599996
C00021,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,60.79,5098768.38,5098768.38,2888316.0599999996,220835.45,1333761.51,134245.870055
C00241,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,45.44,9179329.03,9179329.03,3193167.7299999995,293139.72000000003,2126798.9200000004,133202.688768
C00056,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,46.32,9000694.35,9000694.35,2715753.7099999995,286907.02999999997,2121018.18,132895.336296
C00167,Enterprise,North America,High,discount_dependency_score,redesign discount policy,70.12,2043391.3199999998,2043391.3199999998,1838713.77,188826.68,650407.5099999999,132405.26801600002
C01166,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,52.83,10591313.65,10591313.65,5464405.600000001,248663.25999999998,2716143.07,131368.80025799997
C00749,Enterprise,North America,High,discount_dependency_score,redesign discount policy,73.34,2098562.53,2098562.53,1881406.93,179041.16,619285.5,131308.786744
C00053,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,64.29,1917486.63,1917486.63,1324232.92,202187.06,511941.8300000001,129986.060874
C00668,Public Sector,North America,Medium,discount_dependency_score,review segment pricing,45.92,1582153.27,1582153.27,617131.4199999999,282121.38,354378.4000000001,129550.137696
C00543,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,47.58,13496707.26,13496707.26,4553519.2,263453.89999999997,3198288.4,125351.36561999998
C00403,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,56.56,10476771.16,10476771.16,5782392.92,221001.1,2695263.81,124998.22216
C00846,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,60.49,5160789.76,5160789.76,2995680.97,204223.13,1379448.26,123534.571337
C00934,Enterprise,APAC,High,discount_dependency_score,redesign discount policy,70.23,2481603.13,2481603.13,2175958.25,173127.76,689310.95,121587.62584800001
C00911,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,49.48,9848684.26,9848684.26,3365692.43,234928.77000000002,2345496.73,116242.755396
C00655,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,58.99,3483386.01,3483386.01,1916047.4,193188.78,907960.32,113962.061322
C00397,Enterprise,North America,Low,margin_erosion_score,monitor only,42.58,5192917.25,5192917.25,1567121.17,264674.17,1246551.33,112698.26158599998
C00529,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,59.3,3674553.46,3674553.46,2141292.09,186637.13,944867.3000000003,110675.81809
C00432,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,52.25,2832786.16,2832786.16,1247264.38,210442.87,704312.83,109956.39957499999
C00139,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,51.75,3357612.32,3357612.32,1569019.44,209560.75999999998,828125.32,108447.69329999998
C00388,Public Sector,Europe,Low,margin_erosion_score,monitor only,38.62,5271280.46,5271280.46,1073650.83,280090.58,1133694.66,108170.981996
C00198,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,53.46,2016460.85,2016460.85,1078230.1500000001,190994.84,535003.81,102105.841464
C00151,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,52.59,7808636.32,7808636.32,3288881.6199999996,192483.82,1895471.82,101227.24093800002
C00922,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,60.63,4360660.71,4360660.71,2538170.58,166616.22,1162826.4099999997,101019.41418600001
C01087,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,45.58,10961322.58,10961322.58,3544909.5,221333.63,2573941.25,100883.868554
C00367,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,55.59,2728475.2199999997,2728475.2199999997,1462350.4100000001,176626.18999999997,667559.19,98186.499021
C00246,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,56.47,3926582.96,3926582.96,1939101.41,171323.25,952400.9500000001,96746.239275
C00345,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,52.85,3870219.36,3870219.36,1651486.0199999998,181894.69999999998,922668.12,96131.34894999999
C00143,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,45.09,7473108.9,7473108.9,2277053.6699999995,210655.98,1752157.25,94984.78138200002
C00503,Enterprise,North America,High,discount_dependency_score,redesign discount policy,71.9,1160426.81,1160426.81,910164.8899999998,130544.06,341357.43,93861.17914000001
C01144,Enterprise,North America,Low,discount_dependency_score,monitor only,44.16,8688759.31,8688759.31,3006288.440000001,209455.46,2009789.3199999998,92495.53113599999
C00073,Enterprise,North America,Low,discount_dependency_score,monitor only,39.86,15793949.93,15793949.93,2976017.84,228094.47000000003,3419312.7199999997,90918.45574200002
C00371,Enterprise,North America,High,discount_dependency_score,redesign discount policy,68.23,2496036.0,2496036.0,1735882.4,131657.01,689210.48,89829.577923
C01084,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,57.74,5033953.56,5033953.56,2841148.72,153517.56,1317445.41,88641.03914400001
C00457,Public Sector,North America,Low,discount_dependency_score,monitor only,41.57,3347776.78,3347776.78,1211562.7500000002,209960.03000000003,724518.9500000002,87280.38447100001
C00521,Enterprise,North America,High,discount_dependency_score,redesign discount policy,71.68,2806216.59,2806216.59,2028873.24,121210.32,827047.0199999999,86883.55737600001
C00236,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,48.21,9610744.93,9610744.93,3215884.0800000005,179636.91999999998,2334781.43,86602.959132
C01195,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,68.41,2125918.7,2125918.7,1923429.18,125682.11,602395.5599999999,85979.131451
C00168,Enterprise,North America,Low,discount_dependency_score,monitor only,37.16,10987526.15,10987526.15,1940521.1300000001,227803.72,2276584.6,84651.862352
C00116,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,56.55,5692906.9799999995,5692906.9799999995,3119375.06,148850.11,1447802.5699999998,84174.737205
C00713,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,54.18,2395070.0,2395070.0,1497676.3199999998,153660.06,623554.47,83253.02050799999
C00340,Enterprise,Europe,Low,discount_dependency_score,monitor only,43.21,4078997.12,4078997.12,1269654.58,191201.30000000002,936553.8800000001,82618.08173
C00782,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,52.47,1904065.56,1904065.56,936252.7499999999,156363.88,476937.0300000001,82044.127836
C00182,Enterprise,North America,Low,discount_dependency_score,monitor only,42.9,6901094.59,6901094.59,1595826.26,189797.51,1572293.5,81423.13179
C00008,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,51.85,3782788.59,3782788.59,1675749.5400000003,156312.22999999998,911655.2100000002,81047.89125499998
C00876,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,47.89,2338852.96,2338852.96,1251854.3,167634.41,573851.15,80280.118949
C00346,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,54.14,11793851.66,11793851.66,5542242.230000001,144365.88999999998,2980484.23,78159.69284599999
C00585,Enterprise,North America,High,discount_dependency_score,redesign discount policy,65.09,2374288.98,2374288.98,1673361.4500000002,116436.18000000001,658571.17,75788.30956200001
C00720,Public Sector,APAC,Medium,discount_dependency_score,review segment pricing,52.46,2616412.82,2616412.82,1345158.7099999997,142860.59,662876.54,74944.665514
C00825,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,58.95,4187987.4499999997,4187987.4499999997,2563175.8299999996,126130.60999999999,1121904.72,74353.994595
C00939,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,62.91,1158108.3699999999,1158108.3699999999,845320.56,111351.66,331985.10000000003,70051.329306
C00320,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,50.99,2139483.13,2139483.13,915574.1499999999,137115.57,525981.9400000001,69915.229143
C00512,Enterprise,North America,High,discount_dependency_score,redesign discount policy,67.22,2236522.26,2236522.26,1617792.74,101313.81,616653.7699999998,68103.143082
C01074,Enterprise,APAC,Low,discount_dependency_score,monitor only,42.13,5839697.78,5839697.78,1854698.19,161450.88999999998,1344232.44,68019.259957
C01150,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,52.55,7538769.4799999995,7538769.4799999995,3382390.05,128533.62999999999,1822665.83,67544.42256499999
C00602,Enterprise,Europe,Low,discount_dependency_score,monitor only,44.61,5024081.3,5024081.3,1613648.79,150314.41,1148949.76,67055.258301
C01098,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,56.53,3519014.88,3519014.88,1874189.0699999998,115649.6,901902.1799999999,65376.71888000001
C00430,Enterprise,North America,High,discount_dependency_score,redesign discount policy,65.84,1366879.35,1366879.35,962024.92,98696.88,370905.86,64982.025792
C00688,Public Sector,North America,Low,discount_dependency_score,monitor only,43.61,4294486.76,4294486.76,1464014.3300000003,146456.25,977590.51,63869.570625
C00554,Enterprise,LATAM,Low,discount_dependency_score,monitor only,43.2,4665287.43,4665287.43,1339161.85,144135.46,1094468.43,62266.51872000001
C00452,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,60.02,2306921.71,2306921.71,1263246.0599999998,102731.35,588884.72,61659.35627000001
C00280,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,64.32,2215330.35,2215330.35,1257238.8599999999,94259.79000000001,558383.8499999999,60627.896927999995
C01082,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,58.74,7448133.59,7448133.59,4204453.49,102303.91,1935653.7400000002,60093.31673400001
C00743,Enterprise,North America,Low,discount_dependency_score,monitor only,38.22,3897077.14,3897077.14,692791.75,154255.6,820030.64,58956.49032
C00361,Enterprise,APAC,Medium,margin_erosion_score,review segment pricing,46.66,1659532.62,1659532.62,807913.3300000001,124987.5,424531.48999999993,58319.167499999996
C00242,Enterprise,North America,Low,discount_dependency_score,monitor only,44.4,7417690.36,7417690.36,2386570.08,130499.84,1700234.63,57941.92896
C00758,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,60.77,2927182.81,2927182.81,2008470.2600000002,94258.15,769936.2599999999,57280.677755
C00677,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,50.84,2453611.66,2453611.66,1331069.1199999999,112611.78,603373.06,57251.82895200001
C00152,Enterprise,LATAM,Low,discount_dependency_score,monitor only,42.81,8163128.21,8163128.21,2553075.83,132679.11000000002,1914795.3599999999,56799.926991000015
C01198,Mid-Market,North America,High,discount_dependency_score,redesign discount policy,65.3,513364.07,513364.07,304511.73,85336.95,134421.93,55725.02835
C00279,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,67.31,3032130.57,3032130.57,2224684.59,80223.38,815225.04,53998.35707800001
C00853,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,51.44,2126119.79,2126119.79,1077054.7300000002,104874.0,523104.20999999996,53947.1856
C00238,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,51.92,3759840.12,3759840.12,1744512.3599999999,103841.22,923271.8300000001,53914.361424
C00387,Mid-Market,North America,Low,discount_dependency_score,monitor only,43.06,2547804.05,2547804.05,991597.5199999999,125070.87,587808.02,53855.516622
C00137,Public Sector,North America,Medium,discount_dependency_score,review segment pricing,51.97,874969.19,874969.19,583052.42,103499.5,209382.29,53788.690149999995
C00265,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,69.34,1864342.06,1864342.06,1499700.1199999999,75716.54000000001,537562.3000000002,52501.848836000005
C00800,Mid-Market,Europe,Low,pricing_risk_score,monitor only,39.25,5219812.8,5219812.8,1130576.46,131057.16,1095581.0199999998,51439.935300000005
C00992,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,61.16,6706711.8,6706711.8,4131235.99,82848.64,1770092.21,50670.22822399999
C00704,Enterprise,North America,Low,discount_dependency_score,monitor only,36.0,4698088.23,4698088.23,542362.73,137200.31,1028650.1999999998,49392.1116
C00577,Enterprise,LATAM,High,discount_dependency_score,redesign discount policy,67.78,6147782.18,6147782.18,4954817.569999998,72484.65000000001,1838829.5599999998,49130.09577
C00895,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,54.27,2193061.24,2193061.24,1029827.9500000002,89053.70000000001,548994.48,48329.44299000001
C00105,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,52.75,1375031.05,1375031.05,709083.27,91254.78,353481.19999999995,48136.89645
C00838,Public Sector,North America,Low,discount_dependency_score,monitor only,44.16,2347489.66,2347489.66,881031.26,104747.41,541011.3899999999,46256.456256
C00579,Enterprise,North America,Low,discount_dependency_score,monitor only,38.27,3835292.64,3835292.64,1104834.04,120628.20000000001,819459.2899999999,46164.41214000001
C00408,Enterprise,North America,Low,discount_dependency_score,monitor only,39.39,7613528.57,7613528.57,1522636.86,116751.4,1674701.7999999998,45988.37646
C00974,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,48.36,2290002.33,2290002.33,905691.2599999999,94701.69,517213.04,45797.737283999995
C00001,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,64.82,1133511.19,1133511.19,791775.26,69200.44,314886.35,44855.725207999996
C00431,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,54.22,2947930.06,2947930.06,1487922.2799999998,81191.11,745196.1499999999,44021.819842000004
C00006,Public Sector,North America,Low,margin_erosion_score,monitor only,39.51,2897765.39,2897765.39,829230.67,110232.04999999999,625413.2100000001,43552.682955
C00816,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,45.34,3110010.1,3110010.1,1009627.4100000001,95777.4,741705.1300000002,43425.47316
C00613,Public Sector,LATAM,Low,margin_erosion_score,monitor only,38.08,6924264.31,6924264.31,821904.23,113864.04,1377951.85,43359.42643199999
C00299,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,49.55,2205188.89,2205188.89,952083.94,85334.08,540752.1799999999,42283.03664
C00235,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,59.36,2234125.83,2234125.83,1248077.1300000001,67176.64,587907.55,39876.053504
C01103,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,48.86,1566596.85,1566596.85,626626.11,81581.20999999999,377242.10000000003,39860.579205999995
C01007,Enterprise,LATAM,Low,discount_dependency_score,monitor only,44.26,12084368.27,12084368.27,4428893.880000001,89659.40000000001,2782422.3699999996,39683.25044
C00191,Enterprise,APAC,Low,discount_dependency_score,monitor only,40.98,4734986.26,4734986.26,1694135.16,96379.6,1089475.25,39496.36008
C00605,Public Sector,Europe,Medium,discount_dependency_score,review segment pricing,47.21,2453586.59,2453586.59,1039213.75,82847.6,597618.6500000001,39112.35196000001
C00194,Enterprise,North America,Low,discount_dependency_score,monitor only,44.09,3750084.89,3750084.89,1228323.3600000006,86621.44,828947.15,38191.392896000005
C01021,Enterprise,North America,Low,discount_dependency_score,monitor only,42.56,13408171.11,13408171.11,3732073.16,88674.04,3042076.53,37739.671424
C00179,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,51.19,4441636.88,4441636.88,1553398.26,73447.74,1036711.5199999999,37597.89810600001
C00606,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,64.63,2652316.64,2652316.64,1913723.83,58122.68,789439.03,37564.688084
C00871,Mid-Market,APAC,Medium,discount_dependency_score,review segment pricing,52.32,717372.98,717372.98,256934.2,71276.15,167642.45999999996,37291.681679999994
C00711,Public Sector,North America,Medium,discount_dependency_score,review segment pricing,52.72,650680.64,650680.64,359370.73000000004,70337.06,159142.73,37081.698032
C01176,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,45.96,4668243.85,4668243.85,1360821.19,78454.6,1074917.67,36057.73416
C00405,Public Sector,North America,Medium,discount_dependency_score,review segment pricing,47.04,1717395.53,1717395.53,572564.6499999999,76560.21,391908.81,36013.922784
C00297,Public Sector,APAC,Low,discount_dependency_score,monitor only,36.75,4308017.61,4308017.61,802662.69,97789.41,896314.9800000001,35937.608175
C00948,Enterprise,APAC,Low,discount_dependency_score,monitor only,42.14,3004730.34,3004730.34,693524.1400000001,84962.81999999999,679177.3300000002,35803.332347999996
C00262,Enterprise,Europe,Medium,pricing_risk_score,review segment pricing,52.39,541961.53,541961.53,223687.97999999998,68263.5,126370.19000000002,35763.247650000005
C00055,Mid-Market,North America,Medium,pricing_risk_score,review segment pricing,49.19,1957789.67,1957789.67,609382.04,72373.69,476130.51,35600.618111
C00883,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,57.87,5255576.28,5255576.28,2887143.43,60853.9,1382155.8699999999,35216.15193
C00014,Enterprise,North America,Low,discount_dependency_score,monitor only,41.13,8529792.459999999,8529792.459999999,1592393.01,83900.93,1841367.69,34508.452508999995
C01085,Public Sector,North America,Medium,discount_dependency_score,review segment pricing,60.27,1232763.58,1232763.58,814097.2300000001,57223.649999999994,340655.45999999996,34488.693855
C01071,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,61.04,1756380.0,1756380.0,1051639.8599999999,55277.600000000006,462518.42000000004,33741.44704
C00667,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,60.57,2012666.54,2012666.54,1275979.3800000001,55026.46,529814.7300000001,33329.526822
C00990,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,46.14,3190507.57,3190507.57,1337773.5099999998,70575.84,784088.1,32563.692576
C00623,Public Sector,Europe,Medium,pricing_risk_score,review segment pricing,47.91,1206722.26,1206722.26,595712.29,65107.020000000004,299151.32000000007,31192.773282
C00170,Public Sector,North America,Low,discount_dependency_score,monitor only,40.25,4485586.34,4485586.34,1267302.95,77006.51000000001,1010112.6599999999,30995.120275000005
C00224,Public Sector,North America,Low,margin_erosion_score,monitor only,38.84,2831524.35,2831524.35,904473.3999999999,76789.96,625991.31,29825.220464000005
C00214,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,47.63,3139745.92,3139745.92,844862.1699999999,62611.4,731436.7800000001,29821.809820000002
C00810,Public Sector,Europe,Medium,discount_dependency_score,review segment pricing,56.1,559527.21,559527.21,278137.56,51814.85,136713.66000000003,29068.13085
C00478,Mid-Market,Europe,Low,discount_dependency_score,monitor only,43.85,598197.99,598197.99,148309.72,66037.12,131438.27999999997,28957.27712
C00118,Mid-Market,North America,Medium,discount_dependency_score,review segment pricing,53.97,1287871.3900000001,1287871.3900000001,709127.2100000001,53358.05,334237.49999999994,28797.339584999998
C00540,Enterprise,LATAM,Low,margin_erosion_score,monitor only,34.43,5110268.8,5110268.8,649886.8799999999,82130.5,1072558.79,28277.53115
C00233,Public Sector,North America,Low,margin_erosion_score,monitor only,34.56,2385386.85,2385386.85,338596.55999999994,77938.25,470922.89999999997,26935.4592
C00023,Public Sector,APAC,Medium,discount_dependency_score,review segment pricing,49.93,1482631.09,1482631.09,873442.71,53734.14,383071.0000000001,26829.456102
C00986,Enterprise,North America,Medium,pricing_risk_score,review segment pricing,53.83,2778859.8000000003,2778859.8000000003,871769.0900000001,47620.62,647120.95,25634.179746
C01066,Public Sector,North America,Low,margin_erosion_score,monitor only,30.4,2996816.43,2996816.43,83634.56,83634.56,573719.9,25424.90624
